user_id,profile,cleaning_efficiency,consumables,comparison,month
1011,75sqm apartment dual occupants wood floor,coverage 91 percent; daily area 42sqm; edge route stable,main brush 70 days; filter 65 percent,small-home cleaning remains stable,2025-01
1012,110sqm duplex family tile floor,coverage 87 percent; obstacle success 92 percent; dining area miss once weekly,edge brush light wear; refill daily,enable dining-zone priority cleaning,2025-01
1013,95sqm cat household carpet,pet hair removal 89 percent; carpet boost 13 times monthly,rubber brush medium tangling; filter 35 days,clean rubber brush weekly for pet hair,2025-01
1014,140sqm elderly household mixed floor,coverage 84 percent; voice tasks 6 weekly,battery wear 18 percent; water tank use 72 percent,retain voice and scheduled tasks,2025-01
1015,60sqm single occupant laminate floor,coverage 93 percent; daily area 38sqm,filter 80 days; dustbin every three days,performance above comparable small homes,2025-01
1011,75sqm apartment dual occupants wood floor,coverage 92 percent; daily area 43sqm; edge route stable,main brush 65 days; filter 60 percent,small-home cleaning remains stable,2025-02
1012,110sqm duplex family tile floor,coverage 88 percent; obstacle success 93 percent; dining area miss once weekly,edge brush light wear; refill daily,enable dining-zone priority cleaning,2025-02
1013,95sqm cat household carpet,pet hair removal 90 percent; carpet boost 14 times monthly,rubber brush medium tangling; filter 30 days,clean rubber brush weekly for pet hair,2025-02
1014,140sqm elderly household mixed floor,coverage 85 percent; voice tasks 7 weekly,battery wear 19 percent; water tank use 74 percent,retain voice and scheduled tasks,2025-02
1015,60sqm single occupant laminate floor,coverage 94 percent; daily area 39sqm,filter 75 days; dustbin every three days,performance above comparable small homes,2025-02
1011,75sqm apartment dual occupants wood floor,coverage 92 percent; daily area 44sqm; edge route stable,main brush 60 days; filter 55 percent,small-home cleaning remains stable,2025-03
1012,110sqm duplex family tile floor,coverage 89 percent; obstacle success 94 percent; no dining area misses,edge brush light wear; refill daily,priority cleaning improved dining area,2025-03
1013,95sqm cat household carpet,pet hair removal 91 percent; carpet boost 15 times monthly,rubber brush light tangling; filter 25 days,plan filter replacement soon,2025-03
1014,140sqm elderly household mixed floor,coverage 86 percent; voice tasks 8 weekly,battery wear 20 percent; water tank use 76 percent,retain voice and scheduled tasks,2025-03
1015,60sqm single occupant laminate floor,coverage 94 percent; daily area 40sqm,filter 70 days; dustbin every three days,performance above comparable small homes,2025-03
1011,75sqm apartment dual occupants wood floor,coverage 93 percent; daily area 44sqm; edge route stable,main brush 55 days; filter 50 percent,small-home cleaning remains stable,2025-04
1012,110sqm duplex family tile floor,coverage 90 percent; obstacle success 95 percent; no dining area misses,edge brush light wear; refill daily,priority cleaning improved dining area,2025-04
1013,95sqm cat household carpet,pet hair removal 92 percent; carpet boost 16 times monthly,rubber brush light tangling; filter 55 days,maintenance restored pet hair performance,2025-04
1014,140sqm elderly household mixed floor,coverage 87 percent; voice tasks 9 weekly,battery wear 21 percent; water tank use 78 percent,retain voice and scheduled tasks,2025-04
1015,60sqm single occupant laminate floor,coverage 95 percent; daily area 40sqm,filter 65 days; dustbin every three days,performance above comparable small homes,2025-04
